x,y
1.045296167,521.3849287
1.881533101,482.2810591
2.090592334,456.2118126
3.031358885,488.7983707
3.344947735,602.8513238
2.090592334,645.2138493
3.18815331,677.8004073
3.50174216,723.4215886
3.606271777,840.7331976
4.860627178,804.8879837
4.860627178,834.2158859
5.43554007,840.7331976
5.43554007,896.1303462
5.853658537,1032.99389
6.06271777,984.114053
6.794425087,1006.924644
6.324041812,1120.977597
6.480836237,1098.167006
7.317073171,1107.942974
7.317073171,1081.873727
8.257839721,1358.85947
8.728222997,1313.238289
8.728222997,1313.238289
9.041811847,1323.014257
8.780487805,1264.358452
9.56445993,1319.755601
9.616724739,1290.427699
9.512195122,1453.360489
11.44599303,1443.584521
11.44599303,1339.307536
11.34146341,1303.462322
11.34146341,1280.651731
10.92334495,1241.547862
12.64808362,1329.531568
13.22299652,1358.85947
13.58885017,1498.98167
14.11149826,1446.843177
12.85714286,1254.582485
14.21602787,1290.427699
13.90243902,1261.099796
15.26132404,1199.185336
15.47038328,1368.635438
15.73170732,1388.187373
16.77700348,1466.395112
17.35191638,1433.808554
16.14982578,1362.118126
16.62020906,1241.547862
16.82926829,1088.391039
17.71777003,1248.065173
17.97909408,1280.651731
18.44947735,1342.566191
18.39721254,1303.462322
19.44250871,1407.739308
19.59930314,1323.014257
19.12891986,1296.94501
20.0174216,1248.065173
19.65156794,1235.03055
18.44947735,1176.374745
19.12891986,1160.081466
19.33797909,1140.529532
19.86062718,1075.356415
19.59930314,1042.769857
20.59233449,1046.028513
21.01045296,1199.185336
21.37630662,1358.85947
21.271777,1160.081466
22.00348432,1156.822811
23.7804878,1186.150713
23.1010453,958.0448065
24.51219512,964.5621181
23.25783972,899.389002
22.4738676,690.8350305
24.72125436,775.5600815
26.65505226,742.9735234
28.48432056,716.904277
25.13937282,625.6619145
25.92334495,628.9205703
26.75958188,593.0753564
27.33449477,524.6435845
29.05923345,319.3482688
